Run	Cell	Method	Species	CellLine	Layout	SRR	TotalReads	UniqReads	Background	GC.Mean	GC.Median	Spikiness	GenomicDepth	GenomicCoverage
20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009470	OP-Strand-seq	Human	HG001	PAIRED	SRR15009470	4903620	3543948	0.01766	0.4364175363363236	0.4342105263157895	0.1013733702998243	0.1210861348545749	0.07516135360153732
20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009471	OP-Strand-seq	Human	HG001	PAIRED	SRR15009471	13867960	8048120	0.004457	0.4399081123267629	0.4342105263157895	0.09251903287002476	0.3430540444771285	0.1672241664295022
20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009472	OP-Strand-seq	Human	HG001	PAIRED	SRR15009472	17733848	9097534	0.005659	0.4398348423884652	0.4342105263157895	0.0910268931812979	0.4382094681896311	0.1879808622236966
20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009473	OP-Strand-seq	Human	HG001	PAIRED	SRR15009473	6862716	5116226	0.004027	0.44997086840458	0.4473684210526316	0.1138902092475133	0.169840112175078	0.1064847453670322
20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009475	OP-Strand-seq	Human	HG001	PAIRED	SRR15009475	7299356	5393408	0.004002	0.4430292413016083	0.4342105263157895	0.09923615175624104	0.1801930830421313	0.1138894009253328
20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009476	OP-Strand-seq	Human	HG001	PAIRED	SRR15009476	4593518	3774406	0.004014	0.4474162489274903	0.4444444444444444	0.1125270223507754	0.113344894778807	0.08111305514641046
20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009477	OP-Strand-seq	Human	HG001	PAIRED	SRR15009477	10364012	6371258	0.007531	0.4440275383558577	0.4342105263157895	0.1561353543701778	0.2619088053477559	0.1366152880248805
20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009478	OP-Strand-seq	Human	HG001	PAIRED	SRR15009478	15627464	8223664	0.005617	0.4411332763738762	0.4342105263157895	0.124150295795452	0.3936763341998676	0.17387557229961
20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009479	OP-Strand-seq	Human	HG001	PAIRED	SRR15009479	9753214	5681790	0.009616	0.4497577893793219	0.4473684210526316	0.2467262213578912	0.2506491146128861	0.1242134131990209
20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009480	OP-Strand-seq	Human	HG001	PAIRED	SRR15009480	12392370	7481808	0.006817	0.4406144382403223	0.4342105263157895	0.0930402225340569	0.3056555874059812	0.1566445932476275
20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009482	OP-Strand-seq	Human	HG001	PAIRED	SRR15009482	14907092	8454466	0.039059	0.4352903675077417	0.4342105263157895	0.09918558969061984	0.3688955299273056	0.1778748115737519
20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009483	OP-Strand-seq	Human	HG001	PAIRED	SRR15009483	4070572	3273882	0.006192	0.4560226780057497	0.4473684210526316	0.2076645420390753	0.1026919578096836	0.07209218722632732
20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009484	OP-Strand-seq	Human	HG001	PAIRED	SRR15009484	15817380	9284858	0.007839	0.4465366403000225	0.4444444444444444	0.09880262730216467	0.391344623434255	0.1880476221883544
20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009485	OP-Strand-seq	Human	HG001	PAIRED	SRR15009485	10008502	6443170	0.007391	0.4404686443836705	0.4342105263157895	0.0968015617082952	0.2475722852852111	0.1354496816854207
20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009486	OP-Strand-seq	Human	HG001	PAIRED	SRR15009486	14521972	8405478	0.011288	0.4465341163521744	0.4473684210526316	0.107537784670937	0.3604761778626982	0.1721525119943919
20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009487	OP-Strand-seq	Human	HG001	PAIRED	SRR15009487	10582676	6923966	0.006872	0.4436032102548229	0.4342105263157895	0.1007048080639506	0.2616548200909092	0.1436392703934019
20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009488	OP-Strand-seq	Human	HG001	PAIRED	SRR15009488	17392932	9758540	0.009601	0.4414999369147976	0.4342105263157895	0.09232217082708	0.4300028412298002	0.1997490260806895
